Companies,URL,Description,Business Model,Industry,Sub-Industry,Expert Collections,Markets,Mosaic (Overall),Commercial Maturity,IPO Probability,M&A Probability,Country,Total Funding (M),All Investors,Latest Funding Amount (M),Latest Funding Round,Latest Funding Date,Total Headcount,12 Month Headcount Change %,Company Status,Founded Year,Your Collections,Team Tag
inGen Dynamics,ingendynamics.com,"InGen Dynamics specializes in providing Robotics & AI solutions across various sectors. The company offers products such as service robots for households and businesses, AI-driven security software, and smart home automation systems. InGen Dynamics primarily serves sectors such as household services, healthcare, hospitality, retail, and security. It was founded in 2015 and is based in Palo Alto, California.","B2B, B2C, Manufacturer, SaaS",Machinery & Equipment,Robotics,"Robotics, Artificial Intelligence, Smart Home & Consumer Electronics",Pediatric emotional development robots (Healthcare & Life Sciences),430,,0.94%,7.22%,United States,52.29,"Plug and Play, StartEngine, Altrium Capital, Global Emerging Markets",2.00,Line of Credit,2022-12-01,51,-37.80488%,Alive / Active,2015,,
Kewei Robots,szkwrobot.com,"Kewei Robots provides AI security and property management robots.

On March 13th, 2022, Kewei Robots was acquired by Guardforce AI at a valuation of $10M.",,Machinery & Equipment,Robotics,"Robotics, Artificial Intelligence",,,,,,China,7.08,Guardforce AI,7.08,Series A,2019-08-09,,0%,Acquired,2018,,
HydroX AI,hydrox.ai,"HydroX AI engages in the development and commercialization of artificial intelligence (AI) assisted safety solutions. The company offers language model (LLM) supported risk assessment services, ethical AI frameworks, cybersecurity solutions, and more. HydroX AI primarily caters to businesses, government bodies, and cybersecurity and ethical hacking professionals. It was founded in 2023 and is based in San Francisco, California.","B2B, B2G, SaaS, Usage-based",Internet Software & Services,Monitoring & Security,"Artificial Intelligence, Cybersecurity, Generative AI, Defense Tech",AI security (Enterprise Tech),694,3: Deploying,0.45%,21.95%,United States,8.00,"Atom Capital, MiraclePlus, Vitalbridge Capital, Qi Lu",4.00,Seed VC - II,2024-06-25,10,900%,Alive / Active,2023,,
Oosto,oosto.com,"Oosto is a company that specializes in real-time facial recognition technology, operating within the security and safety industry. The company's main services include the use of artificial intelligence to identify security threats in real-time, providing video analytics, and controlling access to premises. Oosto primarily serves sectors such as public safety, corporate buildings, airports and transportation, casinos and gaming, and stadiums and venues. Oosto  was formerly known as AnyVision. It was founded in 2015 and is based in Holon, Israel.","B2B, B2G, SaaS",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt","Regtech, Smart Cities, Artificial Intelligence, Defense Tech",Physical security (Enterprise Tech),629,3: Deploying,1.90%,3.63%,Israel,352.00,"Bosch, Qualcomm Ventures, Lightspeed Venture Partners, DFJ Growth Fund, M12, O.G. Tech, SE Ventures, Eldridge Industries, SoftBank",235.00,Series C,2021-07-07,97,-10.185185%,Alive / Active,2015,,
Auradine,auradine.com,"Auradine focuses on web infrastructure through blockchain technology, artificial intelligence, and security within the tech industry. The company offers solutions that include energy-efficient bitcoin miners, software, and silicon systems designed for scalability, sustainability, and security. Auradine primarily serves sectors that require advanced internet infrastructure, such as the blockchain and AI industries. It was founded in 2022 and is based in Santa Clara, California.","B2B, Manufacturer",IT Services,Infrastructure & Hosting,"Blockchain, Artificial Intelligence",,824,3: Deploying,0.82%,18.30%,United States,161.00,"Celesta Capital, Cota Capital, DCVC, Marathon Digital Holdings, Mayfield, Stanford University, MVP Ventures, Maverick Capital, Stepstone Group, Top Tier Capital Partners",60.00,Series B,2024-04-10,58,41.463413%,Alive / Active,2022,,
Lasso Security,lasso.security,"Lasso Security specializes in cybersecurity for large language models (LLMs) within the generative artificial intelligence domain. The company offers a suite of security solutions designed to protect organizations from both external cyber threats and internal vulnerabilities associated with the use of LLMs. Its services cater to the cybersecurity industry. The company was founded in 2023 and is based in Tel Aviv, Israel.","B2B, SaaS",Internet Software & Services,Monitoring & Security,"Artificial Intelligence, Cybersecurity, Generative AI, Defense Tech",AI security (Enterprise Tech),662,3: Deploying,0.63%,15.29%,Israel,6.00,"NVIDIA Inception Program, Entree Capital, Samsung NEXT, AWS & CrowdStrike Cybersecurity Accelerator, Plug and Play Silicon Valley summit",,Incubator/Accelerator - II,2024-04-04,40,0%,Alive / Active,2023,,
Jinjing Yunhua,geyecloud.com,"Jinjing Yunhua provides artificial intelligence-driven security solutions for the technology sector. It offers advanced threat detection systems, full-flow threat forensics systems, big data security analysis systems, big data threat intelligence systems, and AI security solutions. Its services primarily cater to the cybersecurity industry. The company was founded in 2016 and is based in Chaoyang District, China.",B2B,Internet Software & Services,Monitoring & Security,,,592,,0.50%,7.05%,China,13.71,"Security Capital, Yongxin Zhicheng",13.71,Series B,2023-10-16,,0%,Alive / Active,2016,,
Lastline,lastline.com,"Lastline focuses on network security. The company offers artificial intelligence (AI) powered network security products that detect and prevent advanced cyberattacks on network, email, cloud, and web infrastructures. These products aim to minimize the risk of damaging and costly data breaches. It was founded in 2011 and is based in San Mateo, California. In June 2020, Lastline was acquired by VMware.",,Internet Software & Services,Monitoring & Security,Cybersecurity,,,,,,United States,52.36,"Headline, Redpoint Ventures, Dell Technologies Capital, Presidio Ventures, Barracuda, NTT Finance, Osage University Partners, Thomvest Ventures, WatchGuard Technologies, VMware",28.50,Series C,2017-07-11,6,-33.333332%,Acquired,2011,,
Bugcrowd,bugcrowd.com,"Bugcrowd operates as a crowdsourced cybersecurity company that focuses on identifying and mitigating digital threats. The company offers a range of services including penetration testing, vulnerability disclosure, and attack surface management, all designed to help organizations protect their digital assets. Its platform leverages a global community of security researchers and AI-powered tools to provide security testing and actionable insights. It was founded in 2012 and is based in San Francisco, California.","B2B, B2G, Marketplace, SaaS",Internet Software & Services,Monitoring & Security,"Tech IPO Pipeline, Cybersecurity","Vulnerability management (Enterprise Tech), Bug bounty platforms (Enterprise Tech), Penetration testing (Enterprise Tech), Attack surface management (Enterprise Tech)",880,5: Established,2.34%,4.77%,United States,180.65,"NAB Ventures, Startmate, Paladin Capital Group, Rally Ventures, Square Peg Capital, Blackbird Ventures, Costanoa Ventures, Partech, Industry Ventures, Salesforce Ventures, Aware Super, Hostplus, Stanford Group, Stanford University, Triangle Peak Partners, General Catalyst",102.00,Series E,2024-02-12,2765,15.400668%,Alive / Active,2012,,
CyberTune,,CyberTune develops an AI-based security efficiency product.,,Internet Software & Services,Monitoring & Security,Artificial Intelligence,,310,,,,United States,6.50,NFX,6.50,Seed VC,2021-08-01,,0%,Alive / Active,,,
Prompt Security,prompt.security,"Prompt Security focuses on security, privacy, and safety in the Generative Artificial Intelligence (GAI) domain. The company's main service is to provide security solutions that protect organizations from risks associated with Generative AI. It was founded in 2023 and is based in Tel Aviv, Israel.",B2B,Internet Software & Services,Monitoring & Security,"Artificial Intelligence, Cybersecurity, Generative AI",AI security (Enterprise Tech),748,3: Deploying,0.50%,7.81%,Israel,5.00,"Four Rivers, Hetz Ventures, Deloitte Launchpad",,Incubator/Accelerator,2024-05-05,23,0%,Alive / Active,2023,,
Tessian,tessian.com,"Tessian is a cloud email security platform that specializes in leveraging artificial intelligence to defend against email threats and prevent data loss. The company's main offerings include artificial intelligence-driven security measures to detect and mitigate phishing attacks, business email compromise, and accidental or intentional data exfiltration. Additionally, Tessian provides tools for threat response and in-the-moment coaching to educate users on recognizing and assessing email risks. Tessian was formerly known as CheckRecipient. It was founded in 2013 and is based in London, United Kingdom. In October 2023, Tessian was acquired by Proofpoint.",,Internet Software & Services,Monitoring & Security,"Digital Banking, Regtech, Fintech 100, Future Unicorns 2019, Fintech, Artificial Intelligence, Cybersecurity","Security awareness training (Enterprise Tech), Email security (Enterprise Tech)",,,,,United Kingdom,132.00,"Blossom Capital, Ian Hamilton, Keith Hyman, Lean Investments, Philipp Kobus, Santiago Izaguirre, Stephen Thompson, Tom James, Winton Ventures, Accel, Amadeus Capital Partners, Crane Venture Partners, LocalGlobe, Balderton Capital, Walking Ventures, Sequoia Capital, Latitude Venture Partners, March Capital, Schroder Adveq, Citi Ventures, Okta Ventures, Sozo Ventures, Tech Nation Future Fifty, Proofpoint",,Incubator/Accelerator,2021-09-21,65,-70.72072%,Acquired,2013,,
Vijil,vijil.ai,"Vijil is a company focused on enhancing the trustworthiness of autonomous agents within the AI software industry. Their main offerings include private cloud services that enable AI engineers to measure, improve, and maintain trust in AI agents, ensuring they are open, safe, and secure. These services are designed to harden large language models during development, defend them during operation, and continuously evaluate their reliability, security, and safety. It was founded in 2023 and is based in San Francisco, California.","B2B, SaaS, Usage-based",IT Services,IT Solutions & Software Development,"Artificial Intelligence, Cybersecurity",AI security (Enterprise Tech),644,2: Validating,0.44%,5.52%,United States,6.00,"Gradient Ventures, Mayfield",6.00,Seed VC,2024-07-24,16,0%,Alive / Active,2023,,
IRONSCALES,ironscales.com,"IRONSCALES provides an artificial intelligence-driven email security platform. The company offers ransomware protection, credential theft protection, account takeover protection, security awareness training, phishing stimulation testing, and more. It primarily serves the cybersecurity industry. The company was founded in 2014 and is based in Atlanta, Georgia.","B2B, SaaS",Internet Software & Services,Monitoring & Security,"Artificial Intelligence, Cybersecurity","Security awareness training (Enterprise Tech), Email security (Enterprise Tech)",741,4: Scaling,0.47%,10.36%,United States,95.00,"8200 EISP, RDSeed, Elron Ventures, K1 Capital Management, Jump Capital, PSG",64.00,Series C,2021-12-07,135,-3.5714285%,Alive / Active,2014,,
Trusfort,trusfort.com,"Trusfort provides business security services, proposing the concept of “human-oriented business security”. Trusfort uses business security technology, artificial intelligence to create information security and offer a whole lifecycle business security protection solution based on scenarios to help customers build a safe, intelligent, and trustworthy business system. The company was founded in 2015 and is based in Beijing, China.","B2B, SaaS",Internet Software & Services,Monitoring & Security,"Artificial Intelligence, Cybersecurity",,438,,0.83%,7.32%,China,62.90,"Redpoint Ventures China, SIG Asia Investments, Dreamfly Capital, Yunfeng Capital, China Broadband Capital, The Cathay Funds, Everest Venture Capital, Forebright Capital Management, Lingang Technology Investment, Qichen Investment",,Series D,2022-04-14,,0%,Alive / Active,2015,,
